fase,historias_ciclo_completo,media_dias_corridos,mediana_dias_corridos,min_dias_corridos,max_dias_corridos,desvio_padrao
Dev (IN DEVELOPMENT -> Waiting Test),262,9.52,7.01,0.0081,35.07,8.5
QA  (Waiting Test -> Done),262,5.05,3.14,0.005,20.88,4.86
Dev [SQUAD_1],43,10.56,7.88,0.0081,28.93,8.16
QA  [SQUAD_1],43,3.13,2.27,0.0271,10.83,2.92
Dev [SQUAD_2],31,6.62,5.98,0.0091,23.16,5.5
QA  [SQUAD_2],31,5.05,3.19,0.1647,20.88,4.58
Dev [SQUAD_3],26,10.13,7.69,0.9625,32.68,7.9
QA  [SQUAD_3],26,2.28,1.07,0.005,10.26,3.22
Dev [SQUAD_4],46,9.81,9.6,0.2745,30.1,8.08
QA  [SQUAD_4],46,8.16,7.21,0.0239,18.77,6.22
Dev [SQUAD_5],32,9.86,7.16,1.0078,27.87,7.91
QA  [SQUAD_5],32,5.4,4.1,0.1398,14.85,4.51
Dev [SQUAD_6],10,22.72,24.09,8.1293,33.89,7.29
QA  [SQUAD_6],10,3.32,3.54,0.3327,7.91,2.23
Dev [SQUAD_7],42,5.83,2.22,0.0287,21.01,6.69
QA  [SQUAD_7],42,4.46,1.93,0.0549,19.14,5.5
Dev [SQUAD_8],32,10.43,6.11,0.1076,35.07,10.98
QA  [SQUAD_8],32,6.37,5.34,1.2503,14.09,3.4
