squad,lake,id_historia,numero,titulo,papel,recurso,duracao_dias_uteis,data_inicio,data_fim
Squad 1,BMC,[BMC - 1],1,Entidade: BMC - Tamanho M,Engenheiro,Engenheiro 1,14.0,09/03/2026,26/03/2026
Squad 1,BMC,[BMC - 1],1,Entidade: BMC - Tamanho M,Analista,Analista 1,7.0,09/03/2026,17/03/2026
Squad 1,COMPRAS,[COMPRAS - 1],1,Entidade: Datamart Tratativa - Parte 1 (Dimensões Básicas 1-4) - TAMANHO: G,Engenheiro,Engenheiro 2,4.0,09/03/2026,12/03/2026
Squad 1,COMPRAS,[COMPRAS - 1],1,Entidade: Datamart Tratativa - Parte 1 (Dimensões Básicas 1-4) - TAMANHO: G,Analista,Analista 2,6.0,09/03/2026,16/03/2026
Squad 1,COMPRAS,[COMPRAS - 2],2,Entidade: Datamart Tratativa - Parte 2 (Dimensões Básicas 5-8) - TAMANHO: G,Engenheiro,Engenheiro 3,4.0,09/03/2026,12/03/2026
Squad 1,COMPRAS,[COMPRAS - 2],2,Entidade: Datamart Tratativa - Parte 2 (Dimensões Básicas 5-8) - TAMANHO: G,Analista,Analista 2,6.0,17/03/2026,24/03/2026
Squad 1,COMPRAS,[COMPRAS - 3],3,Entidade: Datamart Tratativa - Parte 3 (Fornecedores e Materiais) - TAMANHO: G,Engenheiro,Engenheiro 4,3.0,09/03/2026,11/03/2026
Squad 1,COMPRAS,[COMPRAS - 3],3,Entidade: Datamart Tratativa - Parte 3 (Fornecedores e Materiais) - TAMANHO: G,Analista,Analista 1,7.0,18/03/2026,26/03/2026
Squad 1,COMPRAS,[COMPRAS - 4],4,Entidade: Datamart Tratativa - Parte 4 (Documentos de Compra) - TAMANHO: G,Engenheiro,Engenheiro 5,4.0,09/03/2026,12/03/2026
Squad 1,COMPRAS,[COMPRAS - 4],4,Entidade: Datamart Tratativa - Parte 4 (Documentos de Compra) - TAMANHO: G,Analista,Analista 2,6.0,25/03/2026,01/04/2026
Squad 1,COMPRAS,[COMPRAS - 5],5,"Entidade: Datamart Tratativa - Parte 5 (Curva de Compra Base - Curva, Histórico e Causais) - TAMANHO: G",Engenheiro,Engenheiro 6,4.0,09/03/2026,12/03/2026
Squad 1,COMPRAS,[COMPRAS - 5],5,"Entidade: Datamart Tratativa - Parte 5 (Curva de Compra Base - Curva, Histórico e Causais) - TAMANHO: G",Analista,Analista 1,6.0,27/03/2026,06/04/2026
Squad 1,COMPRAS,[COMPRAS - 6],6,Entidade: Datamart Tratativa - Parte 6 (Curva de Compra Mensal e Despivotada) - TAMANHO: M,Analista,Analista 2,6.0,02/04/2026,10/04/2026
Squad 1,COMPRAS,[COMPRAS - 7],7,Entidade: Datamart Tratativa - Parte 7 (Variação e Programação) - TAMANHO: G,Engenheiro,Engenheiro 7,3.0,09/03/2026,11/03/2026
Squad 1,COMPRAS,[COMPRAS - 7],7,Entidade: Datamart Tratativa - Parte 7 (Variação e Programação) - TAMANHO: G,Analista,Analista 1,7.0,07/04/2026,15/04/2026
Squad 1,COMPRAS,[COMPRAS - 8],8,Entidade: Datamart Tratativa - Parte 8 (APV - Análise Preço Volume) - TAMANHO: G,Engenheiro,Engenheiro 8,5.0,09/03/2026,13/03/2026
Squad 1,COMPRAS,[COMPRAS - 8],8,Entidade: Datamart Tratativa - Parte 8 (APV - Análise Preço Volume) - TAMANHO: G,Analista,Analista 2,5.0,13/04/2026,17/04/2026
