fim_projeto,prazo_dias_corridos,RH,FINANCE,SUPPLY_CHAIN,COMERCIAL_2
03/09/2026,179,Squad 5,Squad 6,Squad 7,Squad 8
03/09/2026,179,Squad 5,Squad 6,Squad 8,Squad 7
03/09/2026,179,Squad 5,Squad 7,Squad 6,Squad 8
03/09/2026,179,Squad 5,Squad 7,Squad 8,Squad 6
03/09/2026,179,Squad 5,Squad 8,Squad 6,Squad 7
03/09/2026,179,Squad 5,Squad 8,Squad 7,Squad 6
03/09/2026,179,Squad 6,Squad 5,Squad 7,Squad 8
03/09/2026,179,Squad 6,Squad 5,Squad 8,Squad 7
03/09/2026,179,Squad 6,Squad 7,Squad 5,Squad 8
03/09/2026,179,Squad 6,Squad 7,Squad 8,Squad 5
03/09/2026,179,Squad 6,Squad 8,Squad 5,Squad 7
03/09/2026,179,Squad 6,Squad 8,Squad 7,Squad 5
03/09/2026,179,Squad 7,Squad 5,Squad 6,Squad 8
03/09/2026,179,Squad 7,Squad 5,Squad 8,Squad 6
03/09/2026,179,Squad 7,Squad 6,Squad 5,Squad 8
03/09/2026,179,Squad 7,Squad 6,Squad 8,Squad 5
03/09/2026,179,Squad 7,Squad 8,Squad 5,Squad 6
03/09/2026,179,Squad 7,Squad 8,Squad 6,Squad 5
03/09/2026,179,Squad 8,Squad 5,Squad 6,Squad 7
03/09/2026,179,Squad 8,Squad 5,Squad 7,Squad 6
03/09/2026,179,Squad 8,Squad 6,Squad 5,Squad 7
03/09/2026,179,Squad 8,Squad 6,Squad 7,Squad 5
03/09/2026,179,Squad 8,Squad 7,Squad 5,Squad 6
03/09/2026,179,Squad 8,Squad 7,Squad 6,Squad 5
