squad,lake,historias,historias_alocadas,data_inicio,data_fim,prazo_total_dias_corridos
Squad 1,BMC,1,1,09/03/2026,26/03/2026,18
Squad 1,COMERCIAL (parcial),38,38,23/04/2026,25/06/2026,64
Squad 1,COMPRAS,13,13,09/03/2026,22/04/2026,45
Squad 1 + Squad 5,COMERCIAL,97,97,01/04/2026,25/06/2026,86
Squad 2,MOPAR,39,39,01/04/2026,26/05/2026,56
Squad 2,RH,72,72,27/05/2026,28/08/2026,94
Squad 3,CLIENTE,42,42,01/04/2026,01/06/2026,62
Squad 3,FINANCE,51,51,02/06/2026,31/07/2026,60
Squad 4,SUPPLY CHAIN,85,85,01/04/2026,11/08/2026,133
Squad 5,COMERCIAL (parcial),59,59,01/04/2026,25/06/2026,86
