id_historia,numero,data_inicio,data_fim
[COMPRAS - 1],1,09/03/2026,16/03/2026
[COMPRAS - 2],2,09/03/2026,24/03/2026
[COMPRAS - 3],3,09/03/2026,26/03/2026
[COMPRAS - 4],4,09/03/2026,01/04/2026
[COMPRAS - 5],5,09/03/2026,03/04/2026
[COMPRAS - 6],6,02/04/2026,09/04/2026
[COMPRAS - 7],7,09/03/2026,14/04/2026
[COMPRAS - 8],8,09/03/2026,16/04/2026
[COMPRAS - 9],9,12/03/2026,22/04/2026
[COMPRAS - 10],10,12/03/2026,17/04/2026
[COMPRAS - 11],11,13/03/2026,21/04/2026
[COMPRAS - 12],12,13/03/2026,22/04/2026
[COMPRAS - 13],13,13/03/2026,24/03/2026
